district,code,name,region,grades,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Guilford County Schools,410598,Wiley Accel/Enrichment,Piedmont-Triad,PK-05,Y,85.9,F,Not Met,22,N/A
Halifax County Schools,420328,Everetts Elementary S.T.E.M. Academy,Northeast,PK-05,Y,71.2,F,Met,29.5,N/A
Halifax County Schools,420316,Scotland Neck Elementary Leadership Acad,Northeast,PK-05,Y,76.6,F,Not Met,29.8,N/A
Harnett County Schools,430380,Wayne Avenue Elem,North Central,04-05,Y,71.2,F,Not Met,29.4,N/A
Hertford County Schools,460308,Ahoskie Elementary,Northeast,04-05,Y,63.7,F,Not Met,34.3,N/A
Innovative School District,295300,Southside Ashpole Elementary,Sandhills,0K-05,Y,78,F,Not Met,21.5,N/A
Iredell-Statesville Schools,490352,Statesville Middle,Southwest,06-08,N,82.2,F,Met,23,N/A
Iredell-Statesville Schools,490345,N B Mills Elementary,Southwest,PK-05,Y,87.9,F,Not Met,28.2,N/A
Johnston County Schools,510344,North Johnston Middle,North Central,06-08,Y,61.1,F,Not Met,31.8,N/A
Johnston County Schools,510390,Selma Middle School,North Central,05-08,Y,68.9,F,Not Met,23.6,N/A
Lab Schools,74Z000,ECU Community School,Northeast,0K-05,Y,52.6,F,Met,6.8,N/A
Lab Schools,79Z000,Moss Street Partnership School,Piedmont-Triad,0K-05,Y,63.4,F,Not Met,14.6,N/A
Lab Schools,65Z000,D.C. Virgo Preparatory Academy,Southeast,0K-08,Y,74.9,F,Not Met,26.4,N/A
Lenoir County Public Schools,540330,Rochelle Middle,Southeast,06-08,Y,91.6,F,Not Met,26.4,N/A
Martin County Schools,580316,South Creek Elementary,Northeast,PK-05,Y,64.8,F,Not Met,33.1,N/A
Nash-Rocky Mount Schools,640376,Spring Hope Elementary,North Central,PK-05,Y,47.4,F,Met,27.3,N/A
Nash-Rocky Mount Schools,640335,Rocky Mount Middle,North Central,06-08,Y,63.9,F,Not Met,28.8,N/A
Nash-Rocky Mount Schools,640396,Williford Elementary,North Central,PK-02,Y,77,F,N/A,N/A,N/A
Nash-Rocky Mount Schools,640334,J W Parker Middle,North Central,06-08,Y,77.4,F,Not Met,22,N/A
Nash-Rocky Mount Schools,640342,CITI High School,North Central,09-10,Y,83.3,F,Not Met,<5,N/A
Nash-Rocky Mount Schools,640302,Fairview Elementary,North Central,0K-02,Y,83.8,F,N/A,N/A,N/A
Nash-Rocky Mount Schools,640326,D S Johnson Elementary,North Central,03-05,Y,84.8,F,Met,21.1,N/A
Nash-Rocky Mount Schools,640306,Baskerville Elementary,North Central,0K-05,Y,85.9,F,Not Met,19,N/A
New Hanover County Schools,650312,R Freeman Sch of Engineering,Southeast,PK-05,Y,>95,F,Met,21.5,N/A
Northampton County Schools,660308,Conway Middle,Northeast,05-08,Y,64.5,F,Not Met,23.9,N/A
Northampton County Schools,660325,Gaston Middle,Northeast,05-08,Y,69.3,F,Not Met,28.1,N/A
Pasquotank County Schools,700318,Pasquotank Elementary,Northeast,0K-05,Y,53,F,Met,25.5,N/A
Pasquotank County Schools,700320,P W Moore Elementary,Northeast,0K-05,Y,66.3,F,Not Met,30.1,N/A
Pitt County Schools,740378,Vidant Health,Northeast,PK-12,N,65.4,F,N/A,11.8,N/A
Pitt County Schools,740390,South Greenville Elementary,Northeast,0K-05,Y,90.8,F,Met,21.3,N/A
Robeson County Schools,780410,Townsend Middle,Sandhills,05-08,Y,82.9,F,Met,19,N/A
Robeson County Schools,780352,Orrum Middle,Sandhills,05-08,Y,83.3,F,Not Met,25.6,N/A
Robeson County Schools,780341,Lumberton Junior High,Sandhills,07-08,Y,83.4,F,Not Met,23.6,N/A
Robeson County Schools,780326,Fairmont Middle,Sandhills,05-08,Y,89.3,F,Not Met,25,N/A
Rowan-Salisbury Schools,800373,North Rowan Elementary,Southwest,PK-05,Y,46.1,F,Met,24.4,N/A
Rowan-Salisbury Schools,800377,North Rowan Middle,Southwest,06-08,Y,53.2,F,Not Met,23.3,N/A
Rowan-Salisbury Schools,800360,Hurley Elementary,Southwest,PK-05,Y,53.5,F,Met,25.1,N/A
Rowan-Salisbury Schools,800363,Knox Middle,Southwest,06-08,Y,53.6,F,Not Met,18.2,N/A
Rowan-Salisbury Schools,800346,Koontz Elementary,Southwest,0K-05,Y,71.2,F,Not Met,15.9,N/A
Scotland County Schools,830312,Covington Street Elementary,Sandhills,0K-05,Y,82.6,F,Not Met,27.7,N/A
Vance County Schools,910316,Vance County Middle School,North Central,06-08,Y,71.7,F,Not Met,31.5,N/A
Wake County Schools,920329,Barwell Road Elementary,North Central,PK-05,Y,76.3,F,Not Met,33.1,N/A
Wake County Schools,920352,Bugg Elementary,North Central,PK-05,Y,81.2,F,Not Met,21.6,N/A
Wayne County Public Schools,960312,Brogden Middle,Southeast,05-08,Y,84.4,F,Not Met,29.7,N/A
Wayne County Public Schools,960326,Dillard Middle,Southeast,06-08,Y,94.8,F,Met,18.1,N/A
Weldon City Schools,422314,Weldon Elementary Global Academy,Northeast,PK-04,Y,71.3,F,Not Met,25.2,N/A
Wilson County Schools,980356,Margaret Hearne Elementary,North Central,0K-05,Y,78.5,F,Not Met,26.8,N/A
Wilson County Schools,980308,B O Barnes Elementary,North Central,0K-05,Y,78.8,F,Not Met,22,N/A
Charter Schools,53B000,Ascend Leadership Academy Lee County,North Central,06-07,Y,17.4,D,Not Met,54.1,N/A
Charter Schools,41N000,The Experiential School of Greensboro,Piedmont-Triad,0K-06,N,18.7,D,Not Met,50,N/A
Wilson County Schools,980390,Toisnot Middle,North Central,06-08,Y,19.9,D,Not Met,44.1,N/A
Charter Schools,61P000,"VERITAS Community School, CFA",Southwest,0K-06,Y,21.6,D,Met,40.9,N/A
Charter Schools,29A000,Davidson Charter Academy CFA,Piedmont-Triad,0K-04,N,22.7,D,Not Met,42.3,N/A
Jackson County Schools,500302,Blue Ridge Early College,Western,07-13,N,25.8,D,Not Met,51.4,N/A
Kannapolis City Schools,132314,GW Carver Elementary,Southwest,0K-05,Y,30.6,D,Met,42.7,N/A
Wake County Schools,920396,Douglas Elementary,North Central,PK-05,N,32.9,D,Not Met,53.5,N/A
Johnston County Schools,510410,Polenta Elementary,North Central,PK-05,N,35.3,D,Not Met,51.5,N/A
Rowan-Salisbury Schools,800316,China Grove Elementary,Southwest,PK-05,Y,35.7,D,Met,42.9,N/A
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,Southwest,09-12,Y,35.9,D,Met,33.3,N/A
Jackson County Schools,500337,Smokey Mountain Elementary,Western,PK-08,Y,36,D,Not Met,40.4,N/A
Charter Schools,13B000,Cabarrus Charter Academy,Southwest,0K-12,Y,36.1,D,Not Met,47,N/A
Charter Schools,49G000,Iredell Charter Academy,Southwest,0K-08,Y,36.1,D,Not Met,43.3,N/A
Rowan-Salisbury Schools,800362,Knollwood Elementary,Southwest,PK-05,Y,37,D,Met,39.3,N/A
Granville County Schools,390321,Granville Academy,North Central,PK-12,N,38.6,D,Met,48.9,N/A
Charlotte-Mecklenburg Schools,600463,River Oaks Academy,Southwest,PK-05,Y,39,D,Not Met,48.6,N/A
Wake County Schools,920570,Timber Drive Elementary,North Central,PK-05,Y,39.3,D,Not Met,51.3,N/A
Charlotte-Mecklenburg Schools,600498,Performance Learning Center,Southwest,09-12,Y,39.7,D,Not Met,25,89.7
Kannapolis City Schools,132330,Kannapolis Middle,Southwest,06-08,N,39.7,D,Not Met,44.4,N/A
Nash-Rocky Mount Schools,640336,Middlesex Elementary,North Central,PK-05,Y,39.7,D,Met,35.6,N/A
Charlotte-Mecklenburg Schools,600545,Starmount Acad of Excellence,Southwest,PK-05,Y,40.6,D,Not Met,41.7,N/A
Forsyth County Schools,340514,Smith Farm Elementary,Piedmont-Triad,PK-05,Y,40.6,D,Met,36,N/A
Charlotte-Mecklenburg Schools,600592,Vance High,Southwest,09-12,Y,40.7,D,Not Met,34.6,76.5
Charter Schools,97D000,Bridges Academy,Northwest,0K-09,Y,41.6,D,Met,36.3,N/A
Edgecombe County Public School,330350,SouthWest Edgecombe High,North Central,09-12,N,41.8,D,Not Met,33.4,75.3
Jackson County Schools,500316,Blue Ridge School,Western,PK-06,Y,42,D,Not Met,49,N/A
Macon County Schools,560316,East Franklin Elementary,Western,0K-04,Y,42.4,D,Not Met,44.7,N/A
Johnston County Schools,510326,West Clayton Elementary,North Central,PK-05,N,43.2,D,Not Met,48.4,N/A
Charlotte-Mecklenburg Schools,600459,Montclaire Elementary,Southwest,PK-05,Y,43.5,D,Met,34.8,N/A
Kannapolis City Schools,132336,Woodrow Wilson Elementary,Southwest,PK-05,Y,43.5,D,Met,45.2,N/A
Tyrrell County Schools,890306,Columbia Middle,Northeast,06-08,Y,43.5,D,Met,37,N/A
Cabarrus County Schools,130340,Winecoff Elementary,Southwest,PK-05,Y,43.6,D,Met,45.2,N/A
Charlotte-Mecklenburg Schools,600362,David Cox Road Elementary,Southwest,PK-05,Y,44,D,Not Met,40.2,N/A
Tyrrell County Schools,890308,Tyrrell Elementary,Northeast,PK-05,Y,44.6,D,Met,42,N/A
Forsyth County Schools,340460,North Forsyth High,Piedmont-Triad,09-12,Y,44.7,D,Not Met,27.3,78.5
Johnston County Schools,510412,Clayton Middle,North Central,06-08,N,44.8,D,Met,44.3,N/A
Charlotte-Mecklenburg Schools,600432,Joseph W Grier Academy,Southwest,PK-05,Y,44.9,D,Not Met,50.4,N/A
Lab Schools,50Z000,Catamount School,Western,06-08,Y,45.5,D,Not Met,46.4,N/A
Guilford County Schools,410460,Eastern Guilford Middle,Piedmont-Triad,06-08,Y,45.7,D,Not Met,44,N/A
Forsyth County Schools,340464,Northwest Middle,Piedmont-Triad,06-08,Y,45.9,D,Exceeded,41.9,N/A
Charlotte-Mecklenburg Schools,600471,Nations Ford Elementary,Southwest,PK-05,Y,46.2,D,Not Met,43.9,N/A
Nash-Rocky Mount Schools,640361,Rocky Mount High,North Central,09-12,N,46.2,D,Not Met,31.1,80.6
Forsyth County Schools,340486,Parkland High,Piedmont-Triad,09-12,Y,46.3,D,Met,29.5,73.7
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont-Triad,PK-05,Y,46.4,D,Met,45.3,N/A
Edgecombe County Public School,330340,South Edgecombe Middle,North Central,06-08,N,46.6,D,Met,36.4,N/A
Warren County Schools,930352,Warren County High,North Central,09-12,N,46.6,D,Not Met,18.1,78.7
Charter Schools,93J000,PAVE Southeast Raleigh Charter,North Central,0K-04,Y,47.1,D,Met,42.6,N/A
Iredell-Statesville Schools,490366,Troutman Middle,Southwest,06-08,N,47.1,D,Not Met,50.4,N/A
Forsyth County Schools,340453,Moore Magnet Elementary,Piedmont-Triad,PK-05,Y,47.2,D,Not Met,49,N/A
Gaston County Schools,360340,Brookside Elementary,Southwest,PK-05,Y,47.4,D,Not Met,43.2,N/A
Charlotte-Mecklenburg Schools,600418,Croft Community Elementary,Southwest,PK-05,N,47.7,D,Not Met,54.2,N/A
Forsyth County Schools,340372,Flat Rock Middle,Piedmont-Triad,06-08,Y,48,D,Met,42.7,N/A
Gaston County Schools,360480,Pleasant Ridge Elementary,Southwest,PK-05,Y,48.1,D,Not Met,50.7,N/A
Buncombe County Schools,110384,Oakley Elementary,Western,0K-05,Y,48.2,D,Not Met,41.9,N/A
Caswell County Schools,170344,Stoney Creek Elementary,Piedmont-Triad,0K-05,Y,48.2,D,Met,41.3,N/A
Davidson County Schools,290328,Fair Grove Elementary,Piedmont-Triad,PK-05,Y,48.3,D,Not Met,50.2,N/A
Wake County Schools,920394,Dillard Drive Middle,North Central,06-08,N,48.4,D,Not Met,54.2,N/A
Charlotte-Mecklenburg Schools,600478,J H Gunn Elementary,Southwest,0K-05,Y,48.5,D,Not Met,42.4,N/A
Charter Schools,92Q000,Hope Charter Leadership Academy,North Central,0K-05,Y,48.5,D,Met,31.7,N/A
Cabarrus County Schools,130328,Royal Oaks Elementary,Southwest,0K-05,Y,48.6,D,Met,36.2,N/A
Edgecombe County Public School,330358,Tarboro High,North Central,09-12,N,48.9,D,Met,28.7,77.6
Charlotte-Mecklenburg Schools,600301,Albemarle Road Middle,Southwest,06-08,Y,49.1,D,Met,43.1,N/A
Charter Schools,60Q000,Invest Collegiate Transform,Southwest,0K-08,Y,49.6,D,Met,35.8,N/A
Charlotte-Mecklenburg Schools,600550,Sterling Elementary,Southwest,PK-05,Y,49.7,D,Met,37.4,N/A
Wake County Schools,920536,Powell Elementary,North Central,PK-05,Y,49.7,D,Met,44.6,N/A
Charlotte-Mecklenburg Schools,600416,Hornets Nest Elementary,Southwest,PK-05,Y,49.9,D,Met,43,N/A
Cumberland County Schools,260407,Lake Rim Elementary,Sandhills,PK-05,Y,50,D,Not Met,45.8,N/A
Randolph County Schools,760382,Uwharrie Ridge Six-Twelve,Piedmont-Triad,06-10,N,50,D,Not Met,44,N/A
Charlotte-Mecklenburg Schools,600562,Tuckaseegee Elementary,Southwest,0K-05,Y,50.1,D,Not Met,44.4,N/A
Charter Schools,13D000,Concord Lake STEAM Academy,Southwest,0K-08,Y,50.1,D,Not Met,42.7,N/A
Wake County Schools,920474,Lake Myra Elementary,North Central,PK-05,Y,50.2,D,Not Met,51.1,N/A
Forsyth County Schools,340530,Speas Elementary,Piedmont-Triad,PK-05,Y,50.3,D,Met,45.6,N/A
Nash-Rocky Mount Schools,640329,G R Edwards Middle,North Central,06-08,Y,50.3,D,Met,40.6,N/A
Cabarrus County Schools,130313,Concord Middle,Southwest,06-08,N,50.5,D,Met,36.6,N/A
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,Southwest,06-12,Y,50.5,D,Not Met,32.1,83.3
Onslow County Schools,670337,Heritage Elementary School,Southeast,0K-05,Y,50.5,D,Not Met,49,N/A
Anson County Schools,040306,Anson High School,Southwest,09-12,N,50.7,D,Not Met,23.5,86.2
Union County Public Schools,900314,Monroe Middle,Southwest,06-08,N,51.1,D,Met,48.2,N/A
Charter Schools,32P000,The Institute Development Young Leaders,North Central,0K-08,Y,51.4,D,Met,34.7,N/A
Nash-Rocky Mount Schools,640308,Benvenue Elementary,North Central,0K-05,Y,51.4,D,Met,37.5,N/A
Rowan-Salisbury Schools,800314,Erwin Middle,Southwest,06-08,N,51.6,D,Not Met,41.7,N/A
Charlotte-Mecklenburg Schools,600405,Harding University High,Southwest,09-12,Y,51.7,D,Not Met,28.4,55.6
Forsyth County Schools,340366,East Forsyth Middle School,Piedmont-Triad,06-08,Y,51.8,D,Not Met,33.8,N/A
Gates County Schools,370324,T S Cooper Elementary,Northeast,0K-05,Y,51.8,D,Met,40.2,N/A
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont-Triad,PK-05,Y,52,D,Not Met,46.9,N/A
Charlotte-Mecklenburg Schools,600305,J M Alexander Middle,Southwest,06-08,N,52.4,D,Not Met,48.5,N/A
Guilford County Schools,410313,Southern Guilford Middle,Piedmont-Triad,06-08,Y,52.5,D,Met,47.4,N/A
Martin County Schools,580344,South Creek Middle/High,Northeast,06-12,Y,52.5,D,Not Met,29.6,73.1
Charlotte-Mecklenburg Schools,600381,Eastway Middle,Southwest,06-08,Y,52.6,D,Met,35.7,N/A
Charlotte-Mecklenburg Schools,600398,Greenway Park Elementary,Southwest,PK-05,Y,52.8,D,Not Met,49.2,N/A
Stokes County Schools,850312,Germanton Elementary,Piedmont-Triad,0K-05,Y,53.2,D,Not Met,44.8,N/A
Union County Public Schools,900388,Wingate Elementary,Southwest,PK-05,Y,53.2,D,Not Met,50.2,N/A
Warren County Schools,930340,Northside K-8,North Central,PK-08,Y,53.2,D,Not Met,44.2,N/A
Nash-Rocky Mount Schools,640328,Englewood Elementary,North Central,03-05,Y,53.4,D,Not Met,43.4,N/A
Charlotte-Mecklenburg Schools,600474,Newell Elementary,Southwest,0K-05,Y,53.5,D,Met,45.2,N/A
Wake County Schools,920370,Centennial Campus Middle,North Central,06-08,N,53.5,D,Not Met,46.5,N/A
Washington County Schools,940306,Creswell Elementary,Northeast,PK-05,Y,53.5,D,Met,47.3,N/A
Forsyth County Schools,340384,Griffith Elementary,Piedmont-Triad,PK-05,Y,53.8,D,Exceeded,41.1,N/A
Martin County Schools,580372,Riverside Middle,Northeast,06-08,Y,54.3,D,Not Met,39,N/A
Rockingham County Schools,790374,Reidsville Middle,Piedmont-Triad,06-08,Y,54.6,D,Met,44.5,N/A
Nash-Rocky Mount Schools,640400,Winstead Avenue Elementary,North Central,0K-02,Y,54.7,D,N/A,N/A,N/A
Guilford County Schools,410307,Edwin A Alderman Elementary,Piedmont-Triad,PK-05,Y,55,D,Not Met,50.8,N/A
Guilford County Schools,410487,Northeast Guilford Middle,Piedmont-Triad,06-08,Y,55,D,Exceeded,41.1,N/A
Cumberland County Schools,260368,Hope Mills Middle,Sandhills,06-08,N,55.1,D,Not Met,47.4,N/A
Rockingham County Schools,790386,South End Elementary,Piedmont-Triad,PK-05,Y,55.1,D,Not Met,43.8,N/A
Anson County Schools,040309,Anson Middle,Southwest,06-08,N,55.2,D,Not Met,35.6,N/A
Hertford County Schools,460320,Hertford County High,Northeast,09-12,Y,55.2,D,Not Met,24.5,74.7
Gaston County Schools,360408,W P Grier Middle School,Southwest,06-08,Y,55.5,D,Not Met,42.6,N/A
Nash-Rocky Mount Schools,640346,Nash Central High,North Central,09-12,N,55.7,D,Not Met,31.2,77.3
Wake County Schools,920326,Baileywick Road Elementary,North Central,PK-05,Y,55.7,D,Not Met,50.8,N/A
Charter Schools,60L000,KIPP Charlotte,Southwest,0K-08,Y,55.8,D,Not Met,31.7,N/A
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,PK-05,Y,55.9,D,Met,34.6,N/A
Nash-Rocky Mount Schools,640320,Nash Central Middle,North Central,06-08,N,55.9,D,Not Met,44.6,N/A
Charlotte-Mecklenburg Schools,600576,West Charlotte High,Southwest,09-12,Y,56,D,Not Met,26,68.3
Union County Public Schools,900370,Walter Bickett Elementary,Southwest,PK-05,Y,56,D,Exceeded,42.1,N/A
Charlotte-Mecklenburg Schools,600448,Martin Luther King Jr Middle,Southwest,06-08,Y,56.2,D,Exceeded,39.8,N/A
Durham Public Schools,320304,Bethesda Elementary,North Central,PK-05,Y,56.3,D,Met,39.8,N/A
Onslow County Schools,670322,Hunters Creek Middle,Southeast,06-08,Y,56.3,D,Not Met,47.2,N/A
Rowan-Salisbury Schools,800358,Isenberg Elementary,Southwest,PK-05,Y,56.6,D,Exceeded,42.2,N/A
Bertie County Schools,080312,Bertie High,Northeast,09-12,Y,56.7,D,Not Met,26.2,73.3
Thomasville City Schools,292320,Thomasville Middle,Piedmont-Triad,06-08,Y,56.7,D,Exceeded,37.3,N/A
Stanly County Schools,840310,Central Elementary,Southwest,0K-05,Y,56.8,D,Met,39.2,N/A
Charlotte-Mecklenburg Schools,600485,Oakdale Elementary,Southwest,0K-05,Y,56.9,D,Met,31.8,N/A
Cumberland County Schools,260370,Ed V Baldwin Elementary,Sandhills,PK-05,Y,56.9,D,Met,44.7,N/A
Rowan-Salisbury Schools,800315,Overton Elementary,Southwest,0K-05,Y,56.9,D,Not Met,37.3,N/A
Charlotte-Mecklenburg Schools,600303,Charlotte East Language Academy,Southwest,0K-07,Y,57,D,Not Met,41.2,N/A
Charter Schools,13C000,A.C.E. Academy,Southwest,0K-08,Y,57.1,D,Met,39.1,N/A
Harnett County Schools,430304,Anderson Creek Primary,North Central,PK-02,Y,57.1,D,N/A,N/A,N/A
Pasquotank County Schools,700319,Pasquotank County High,Northeast,09-12,N,57.1,D,Not Met,30.3,80.7
Charlotte-Mecklenburg Schools,600520,Sedgefield Middle,Southwest,06-08,Y,57.3,D,Met,27.3,N/A
Lexington City Schools,291352,Southwest Elementary School,Piedmont-Triad,01-05,Y,57.3,D,Not Met,50.4,N/A
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,PK-05,Y,57.6,D,Met,33.1,N/A
Vance County Schools,910370,Vance County High School,North Central,09-12,N,57.7,D,Not Met,23.6,84.8
Wayne County Public Schools,960338,Grantham Middle,Southeast,05-08,Y,57.9,D,Not Met,45.2,N/A
Guilford County Schools,410310,Allen Jay Elementary,Piedmont-Triad,PK-05,Y,58,D,Met,45.1,N/A
Bertie County Schools,080314,Bertie Middle,Northeast,06-08,Y,58.2,D,Not Met,45,N/A
Charlotte-Mecklenburg Schools,600365,Devonshire Elementary,Southwest,0K-05,Y,58.2,D,Not Met,42.4,N/A
Guilford County Schools,410325,Swann Middle School,Piedmont-Triad,06-08,Y,58.2,D,Not Met,44.2,N/A
Hertford County Schools,460318,Hertford County Middle,Northeast,06-08,Y,58.2,D,Exceeded,28.5,N/A
Martin County Schools,580312,E J Hayes Elementary,Northeast,03-05,Y,58.2,D,Met,44.5,N/A
Wake County Schools,920561,South Garner High,North Central,09-11,N,58.2,D,Met,37.7,N/A
Durham Public Schools,320320,Glenn Elementary,North Central,0K-05,Y,58.3,D,Not Met,32.5,N/A
Harnett County Schools,430336,Erwin Elementary,North Central,03-05,Y,58.4,D,Met,46.3,N/A
Guilford County Schools,410544,Ben L. Smith High School,Piedmont-Triad,09-12,Y,58.6,D,Met,27.7,77.3
Forsyth County Schools,340428,Konnoak Elementary,Piedmont-Triad,PK-05,Y,58.7,D,Exceeded,41.6,N/A
Rowan-Salisbury Schools,800410,West Rowan Middle,Southwest,06-08,N,58.7,D,Not Met,43.5,N/A
Montgomery County Schools,620339,West Middle,Sandhills,06-08,N,59,D,Not Met,45.9,N/A
Charter Schools,26C000,The Capitol Encore Academy,Sandhills,0K-08,Y,59.1,D,Not Met,46.8,N/A
Johnston County Schools,510332,Corinth-Holders Elementary,North Central,PK-05,Y,59.1,D,Not Met,44.3,N/A
Johnston County Schools,510330,Cooper Academy,North Central,PK-05,Y,59.2,D,Met,31,N/A
Harnett County Schools,430347,Harnett Central Middle,North Central,06-08,N,59.3,D,Not Met,46.9,N/A
Guilford County Schools,410316,Allen Middle,Piedmont-Triad,06-08,Y,59.5,D,Not Met,39.2,N/A
Guilford County Schools,410496,Northwood Elementary,Piedmont-Triad,PK-05,Y,59.5,D,Met,38.4,N/A
Alamance-Burlington Schools,010346,B. Everett Jordan Elementary,Piedmont-Triad,0K-05,Y,59.6,D,Not Met,41.6,N/A
Durham Public Schools,320352,Merrick-Moore Elementary,North Central,PK-05,Y,59.6,D,Met,34.7,N/A
Guilford County Schools,410367,Ferndale Middle,Piedmont-Triad,06-08,Y,59.7,D,Not Met,34.2,N/A
Durham Public Schools,320388,W G Pearson Elementary,North Central,PK-05,Y,59.9,D,Met,39.8,N/A
Charlotte-Mecklenburg Schools,600546,Statesville Road Elementary,Southwest,PK-05,Y,60,D,Not Met,40,N/A
Charter Schools,49D000,Success Institute Charter,Southwest,0K-08,Y,60,D,Met,35,N/A
