affiliate,name,CISNC_school,code,county,city,full_address,long,lat,district
CIS of Charlotte-Mecklenburg,Independence High School,yes,600426,Mecklenburg,Charlotte,"1967 Patriot Dr, Charlotte, NC 28227",-80.6874383,35.1972437,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Marie G. Davis,yes,600366,Mecklenburg,Charlotte,"3351 W Griffith St, Charlotte, NC 28203",-80.876607,35.2025539,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,MLK Middle School,yes,600448,Mecklenburg,Charlotte,"500 Bilmark Ave, Charlotte, NC 28213",-80.7784325,35.2633482,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Montclaire Elementary School,yes,600459,Mecklenburg,Charlotte,"5801 Farmbrook Dr, Charlotte, NC 28210",-80.8672692,35.152272,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Ranson IB Middle School,yes,600514,Mecklenburg,Charlotte,"5850 Statesville Rd, Charlotte, NC 28269",-80.8389821,35.3003216,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Thomasboro Academy,yes,600553,Mecklenburg,Charlotte,"538 Bradford Dr, Charlotte, NC 28208",-80.8987366,35.2544538,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Winterfield Elementary School,yes,600589,Mecklenburg,Charlotte,"3100 Winterfield Pl, Charlotte, NC 28205",-80.766898,35.208093,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Ashley Park Middle School,yes,600311,Mecklenburg,Charlotte,"2401 Belfast Dr, Charlotte, NC 28208",-80.891217,35.232769,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Vance High School,yes,600592,Mecklenburg,Charlotte,"7600 IBM Dr, Charlotte, NC 28262",-80.7689268,35.3001651,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,West Mecklenburg High School,yes,600579,Mecklenburg,Charlotte,"7400 Tuckaseegee Rd, Charlotte, NC 28214",-80.9520921,35.2473959,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Billingsville/ Cotswold Elementary School,yes,600335,Mecklenburg,Charlotte,"124 Skyland Ave, Charlotte, NC 28205",-80.8100428,35.1968477,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Dilworth Elementary,yes,600367,Mecklenburg,Charlotte,"405 E. Park Ave, Charlotte, NC 28203",-80.850803,35.212172,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Highland Renaissance Academy,yes,600414,Mecklenburg,Charlotte,"125 W Craighead Rd, Charlotte, NC 28206",-80.8036049,35.255572,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,James Martin Middle School,yes,600428,Mecklenburg,Charlotte,"6301 University Pointe Blvd, Charlotte, NC 28262",-80.7626043,35.2977496,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,McClintock Middle School,yes,600450,Mecklenburg,Charlotte,"1925 Rama Rd, Charlotte, NC 28212",-80.7687239,35.1799531,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Myers Park High School,yes,600466,Mecklenburg,Charlotte,"2400 Colony Rd, Charlotte, NC 28209",-80.833111,35.17166,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Quail Hollow Middle,yes,600509,Mecklenburg,Charlotte,"2901 Smithfield Church Rd, Charlotte, NC 28210",-80.8537379,35.1133681,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Rama Road Elementary School,yes,600512,Mecklenburg,Charlotte,"1035 Rama Rd, Charlotte, NC 28211",-80.7715531,35.169906,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Shamrock Gardens Elementary,yes,600527,Mecklenburg,Charlotte,"3301 Country Club Dr, Charlotte, NC 28205",-80.788413,35.233947,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,South Mecklenburg High School,yes,600535,Mecklenburg,Charlotte,"8900 Park Rd, Charlotte, NC 28210",-80.8608985,35.1101144,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Statesville Rd Elementary School,yes,600546,Mecklenburg,Charlotte,"5521 Milhaven Ln, Charlotte, NC 28269",-80.8466877,35.2961147,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Druid Hills Academy,yes,600374,Mecklenburg,Charlotte,"2801 Lucena Ave, Charlotte, NC 28206",-80.8242841,35.2572334,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,East Mecklenburg High School,yes,600377,Mecklenburg,Charlotte,"6800 Monroe Rd, Charlotte, NC 28212",-80.7579975,35.1752502,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Merry Oaks International Academy,yes,600453,Mecklenburg,Charlotte,"3508 Draper Ave, Charlotte, NC 28205",-80.7828269,35.2190728,Charlotte-Mecklenburg
CIS of Charlotte-Mecklenburg,Renaissance West STEAM Academy,yes,600515,Mecklenburg,Charlotte,"3241 New Renaissance Way, Charlotte, NC 28208",-80.9209172,35.2076074,Charlotte-Mecklenburg
CIS of Chatham County,Virginia Cross Elementary,yes,190370,Chatham,Siler City,"234 Cross School Road, Siler City, NC 27344",-79.4413534,35.7117979,Chatham County Schools
CIS of Chatham County,Bonlee School,yes,190308,Chatham,Bear Creek,"152 Bonlee School Road, Bear Creek, NC 27207",-79.420708,35.644174,Chatham County Schools
CIS of Chatham County,Chatham Middle School,yes,190312,Chatham,Siler City,"2025 South 2nd Avenue Ext, Siler City, NC 27344",-79.4481623,35.7088641,Chatham County Schools
CIS of Chatham County,Horton Middle School,yes,190328,Chatham,Pittsboro,"79 Horton Road, Pittsboro, NC 27312",-79.1717178,35.7665886,Chatham County Schools
CIS of Chatham County,Pittsboro Elementary,yes,190348,Chatham,Pittsboro,"375 Pittsboro School Road, Pittsboro, NC 27312",-79.1840986,35.7172541,Chatham County Schools
CIS of Chatham County,Siler City Elementary,yes,190350,Chatham,Siler City,"671 Ellington Road, Siler City, NC 27344",-79.492701,35.7271379,Chatham County Schools
CIS of Cleveland County,James Love School,yes,230346,Cleveland,Shelby,"309 James Love Road, Shelby, NC 28152",-81.5673132,35.2652188,Cleveland County Schools
CIS of Cleveland County,Burns High School,yes,230312,Cleveland,Lawndale,"307 E Stagecoach Trail, Lawndale, NC 28090",-81.5324944,35.4193649,Cleveland County Schools
CIS of Cleveland County,Burns Middle School,yes,230316,Cleveland,Lawndale,"215 Shady Grove Road, Lawndale, NC 28090",-81.5394336,35.4258329,Cleveland County Schools
CIS of Cleveland County,Crest High School,yes,230324,Cleveland,Shelby,"800 Old Boiling Springs, Shelby, NC 28152",-81.613426,35.274696,Cleveland County Schools
CIS of Cleveland County,Crest Middle School,yes,230328,Cleveland,Shelby,"315 Beaverdam Church Rd, Shelby, NC 28150",-81.618871,35.276274,Cleveland County Schools
CIS of Cleveland County,Kings Mountain High School,yes,230350,Cleveland,Kings Mountain,"500 Phifer Road, Kings Mountain, NC 28086",-81.3719418,35.2331401,Cleveland County Schools
CIS of Cleveland County,Marion Elementary,yes,230355,Cleveland,Shelby,"410 Forest Hill Drive, Shelby, NC 28150",-81.525012,35.28853,Cleveland County Schools
CIS of Cleveland County,Shelby High School,yes,230361,Cleveland,Shelby,"230 E Dixon Boulevard, Shelby, NC 28152",-81.536911,35.274073,Cleveland County Schools
CIS of Cleveland County,Shelby Intermediate School,yes,230336,Cleveland,Shelby,"220 S Post Road, Shelby, NC 28152",-81.494743,35.279666,Cleveland County Schools
CIS of Cleveland County,Shelby Middle School,yes,230362,Cleveland,Shelby,"1480 South Dekalb Street, Shelby, NC 28152",-81.5499584,35.2645464,Cleveland County Schools
CIS of Cumberland County,Walker Spivey,yes,260405,Cumberland,Fayetteville,"500 Fisher Street, Fayetteville, NC 28301",-78.8726764,35.0390699,Cumberland County
CIS of Cumberland County,Alger B Wilkins High School,yes,260374,Cumberland,Fayetteville,"1429 Skibo Road, Fayetteville, NC 28303",-78.951898,35.082547,Cumberland County
CIS of Cumberland County,Lewis Chapel Middle School,yes,260372,Cumberland,Fayetteville,"2150 Skibo Road, Fayetteville, NC 28314",-78.97641,35.0485426,Cumberland County
CIS of Lexington/Davidson Co.,South Davidson High School,yes,290365,Davidson,Denton,"14956 South NC Hwy 109, Denton, NC 27239",-80.104271,35.672924,Davidson
CIS of Lexington/Davidson Co.,South Davidson Middle School,yes,290367,Davidson,Denton,"14954 NC Hwy 109 South, Denton, NC 27239",-80.1033943,35.673509,Davidson
CIS of Durham,Merrick-Moore,yes,320352,Durham,Durham,"2325 Cheek Road, Durham, NC 27704",-78.8522192,36.0055656,Durham Public Schools
CIS of Durham,Shepard,yes,320338,Durham,Durham,"2401 Dakota Street, Durham, NC 27707",-78.8997755,35.9654408,Durham Public Schools
CIS of Durham,Durham Performance Learning Center,yes,320322,Durham,Wilmington,"401 North Driver Street, Durham, NC 27703",-78.8791738,35.9897317,Durham Public Schools
CIS of Durham,Fayettville Street Elementary School,yes,320344,Durham,Durham,"2905 Fayetteville Street, Durham, NC 27707",-78.9055943,35.9643844,Durham Public Schools
CIS of Durham,Glenn Elementary School,yes,320320,Durham,Durham,"2415 E Geer Street, Durham, NC 27704",-78.837487,36.029499,Durham Public Schools
CIS of Durham,Hillside High School,yes,320325,Durham,Durham,"3727 Fayetteville St, Durham, NC 27707",-78.9064554,35.9545446,Durham Public Schools
CIS of Gaston County,Warlick Academy,yes,360372,Gaston,Gastonia,"1316 Spencer Mountain Road, Gastonia, NC 28054",-81.133526,35.2822938,Gaston County Schools
CIS of North Carolina (Direct Service),J F Webb High,yes,390324,Granville,Oxford,"3200 Webb School Rd, Oxford, NC 27565",-78.5980053,36.3374749,Granville County Schools
CIS of Greater Greensboro,Dudley High,yes,410355,Guilford,Greensboro,"1200 Lincoln Street, Greensboro, NC 27401",-79.762302,36.06138,Guilford County Schools
CIS of High Point,Fairview Elementary,yes,410364,Guilford,High Point,"608 Fairview Street, High Point, NC 27260",-80.0074642,35.947588,Guilford County Schools
CIS of High Point,Ferndale Middle School,yes,410367,Guilford,High Point,"701 Ferndale Boulevard, High Point, NC 27262",-80.019831,35.957043,Guilford County Schools
CIS of High Point,High Point Central High,yes,410406,Guilford,High Point,"801 Ferndale Boulevard, High Point, NC 27262",-80.0211513,35.9569038,Guilford County Schools
CIS of High Point,Montlieu Elem Academy of Technology,yes,410469,Guilford,High Point,"1105 Montlieu Avenue, High Point, NC 27262",-79.9852139,35.9766361,Guilford County Schools
CIS of Greater Greensboro,Smith High School,yes,410544,Guilford,Greensboro,"2407 South Holden Road, Greensboro, NC 27407",-79.847112,36.034726,Guilford County Schools
CIS of High Point,T.W. Andrews High,yes,410319,Guilford,High Point,"1920 McGuinn Drive, High Point, NC 27265",-79.9897812,35.9849499,Guilford County Schools
CIS of High Point,Welborn Academy of Science Tech,yes,410592,Guilford,High Point,"1710 McGuinn Drive, High Point, NC 27265",-79.9906734,35.9823423,Guilford County Schools
CIS of North Carolina (Direct Service),Northwest Collegiate and Technical Academy,yes,420346,Halifax,Littleton,"8492 Hwy 48, Littleton, NC 27850",-77.7858296,36.3866622,Halifax County Schools
CIS of North Carolina (Direct Service),Blue Ridge,yes,500302,Jackson,Cashiers,"95 Bobcat Dr, Cashiers, NC 28717",-83.1202056,35.1284311,Jackson County Schools
CIS of Lexington/Davidson Co.,Lexington Senior High School,yes,291336,Davidson,Lexington,"26 Penry Street, Lexington, NC 27292",-80.2499278,35.8327345,Lexington City
CIS of Lincoln County,North Lincoln Middle School,yes,550350,Lincoln,Denver,"1503 Amity Church Road, Denver, NC 28037",-81.1203833,35.5117033,Lincoln County Schools
CIS of Lincoln County,East Lincoln Middle School,yes,550322,Lincoln,Iron Station,"4137 Hwy 73, Iron Station, NC 28080",-81.0940048,35.4757956,Lincoln County Schools
CIS of Lincoln County,Lincolnton Middle School,yes,550334,Lincoln,Lincolnton,"2361 Startown Road, Lincolnton, NC 28092",-81.2647887,35.5206703,Lincoln County Schools
CIS of Lincoln County,West Lincoln Middle School,yes,550372,Lincoln,Lincolnton,"260 Shoal Rd, Lincolnton, NC 28092",-81.389009,35.482262,Lincoln County Schools
CIS of Montgomery County,West Montgomery High,yes,620340,Montgomery,Mount Gilead,"147 Warrior Drive, Mount Gilead, NC 27306",-79.9601527,35.2966485,Montgomery County
CIS of Montgomery County,East Middle School,yes,620314,Montgomery,Biscoe,"130 Merlin's Maze, Biscoe, NC 27209",-79.7737182,35.3369386,Montgomery County
CIS of Montgomery County,East Montgomery High,yes,620316,Montgomery,Biscoe,"157 Eagle Lane, Biscoe, NC 27209",-79.7781321,35.3393946,Montgomery County
CIS of Montgomery County,West Middle School,yes,620339,Montgomery,Mount Gilead,"129 NC Hwy 109S, Mount Gilead, NC 27306",-79.943774,35.318228,Montgomery County
CIS of Rocky Mount Region,Fairview Elementary,yes,640302,Nash,Rocky Mount,"720 N Fairview Rd, Rocky Mount, NC 27801",-77.776051,35.9388429,Nash Rocky Mount
CIS of Rocky Mount Region,Southern Nash High School,yes,640364,Nash,Bailey,"6446 Southern Nash High Road, Bailey, NC 27807",-78.0896618,35.8494038,Nash Rocky Mount
CIS of Rocky Mount Region,Tar River Academy,yes,640340,Nash,Rocky Mount,"224 S. Pearl Street, Rocky Mount, NC 27804",-77.8012553,35.9416026,Nash Rocky Mount
CIS of Rocky Mount Region,Southern Nash Middle School,yes,640362,Nash,Spring Hope,"5301 South NC Highway 581, Spring Hope, NC 27882",-78.0896615,35.8754969,Nash Rocky Mount
CIS of Rocky Mount Region,Northern Nash High,yes,640350,Nash,Rocky Mount,"4230 Green Hills Road, Rocky Mount, NC 27804",-77.892535,35.998602,Nash Rocky Mount
CIS of Cape Fear,Anderson Elementary,yes,650323,New Hanover,Wilmington,"455 Halyburton Drive , Wilmington, NC 28512",-77.9074609,34.1775833,New Hanover
CIS of Cape Fear,Ashley High School,yes,650327,New Hanover,Wilmington,"555 Halyburton Memorial Parkway , Wilmington, NC 28412",-77.9110479,34.1005137,New Hanover
CIS of Cape Fear,Bellamy Elementary,yes,650338,New Hanover,Wilmington,"70 Sanders Rd. , Wilmington, NC 28412",-77.909028,34.122656,New Hanover
CIS of Cape Fear,Blair Elementary,yes,650341,New Hanover,Wilmington,"6510 Market Street , Wilmington, NC 28405",-77.83933,34.2565979,New Hanover
CIS of Cape Fear,Codington Elementary,yes,650366,New Hanover,Wilmington,"4321 Carolina Beach Rd. , Wilmington, NC 28412",-77.9174471,34.1665203,New Hanover
CIS of Cape Fear,Gregory Elementary,yes,650332,New Hanover,Wilmington,"319 S. Tenth St , Wilmington, NC 28401",-77.9362636,34.2322206,New Hanover
CIS of Cape Fear,College Park,yes,650316,New Hanover,Wilmington,"5001 Oriole Dr. , Wilmington, NC 28403",-77.86336,34.236268,New Hanover
CIS of Cape Fear,Castle Hayne Elementary School,yes,650309,New Hanover,Castle Hayne,"3925 Roger Haynes Drive, Castle Hayne, NC 28429",-77.8914786,34.3509008,New Hanover
CIS of Cape Fear,Eaton Elementary,yes,650353,New Hanover,Wilmington,"6701 Gordon Road, Wilmington, NC 28405",-77.8341825,34.2663283,New Hanover
CIS of Cape Fear,Freeman Elementary,yes,650312,New Hanover,Wilmington,"2601 Princess Place Drive, Wilmington, NC 28405",-77.9134872,34.2451529,New Hanover
CIS of Cape Fear,Hoggard High School,yes,650342,New Hanover,Wilmington,"4305 Shipyard Blvd, Wilmington, NC 28403",-77.8921411,34.1998549,New Hanover
CIS of Cape Fear,Holly Shelter Middle School,yes,650343,New Hanover,Castle Hayne,"3921 Roger Haynes Dr, Castle Hayne, NC 28429",-77.8921642,34.350508,New Hanover
CIS of Cape Fear,Holly Tree,yes,650325,New Hanover,Wilmington,"2900 N College Rd, Wilmington, NC 28405",-77.8729674,34.3012724,New Hanover
CIS of Cape Fear,Issac Bear Early College,yes,650340,New Hanover,Wilmington,"630 MacMillan Avenue, Wilmington, NC 28403",-77.8811648,34.2204535,New Hanover
CIS of Cape Fear,Laney High,yes,650326,New Hanover,Wilmington,"2700 N College Rd, Wilmington, NC 28405",-77.871969,34.297823,New Hanover
CIS of Cape Fear,Murray Middle,yes,650310,New Hanover,Wilmington,"655 Halyburton Memorial Parkwy, Wilmington, NC 28412",-77.9075709,34.0985243,New Hanover
CIS of Cape Fear,Murrayville Elementary,yes,650348,New Hanover,Wilmington,"225 Mabee Way, Wilmington, NC 28411",-77.8510147,34.298352,New Hanover
CIS of Cape Fear,Myrtle Grove,yes,650351,New Hanover,Wilmington,"901 Piner Rd, Wilmington, NC 28409",-77.8840061,34.1373085,New Hanover
CIS of Cape Fear,Noble Middle,yes,650350,New Hanover,Wilmington,"6520 Market St, Wilmington, NC 28405",-77.8361856,34.2532655,New Hanover
CIS of Cape Fear,Ogden Elementary,yes,650356,New Hanover,Wilmington,"3637 Middle Sound Rd, Wilmington, NC 28411",-77.809496,34.2661541,New Hanover
CIS of Cape Fear,Pine Valley,yes,650362,New Hanover,Wilmington,"440 John S Mosby Dr, Wilmington, NC 28412",-77.8996547,34.1794746,New Hanover
CIS of Cape Fear,Roland Grise,yes,650364,New Hanover,Wilmington,"4412 Lake Ave, Wilmington, NC 28403",-77.8904359,34.205386,New Hanover
CIS of Cape Fear,Sunset Park Elementary,yes,650368,New Hanover,Wilmington,"613 Alabama Ave, Wilmington, NC 28401",-77.9412036,34.2078187,New Hanover
CIS of Cape Fear,Trask Middle School,yes,650325,New Hanover,Wilmington,"2900 N College Rd, Wilmington, NC 28405",-77.8729674,34.3012724,New Hanover
CIS of Cape Fear,Williams Elementary,yes,110412,Buncombe,Swannanoa,"161 Bee Tree Road, Swannanoa, NC 28778",-82.4025554,35.6042883,New Hanover
CIS of Cape Fear,Wilmington Early College,yes,650394,New Hanover,Castle Hayne,"4500 Blue Clay Rd, WECHS Bldg.ND122, Castle Hayne, NC 28429",-77.8801909,34.3228604,New Hanover
CIS of Cape Fear,New Hanover High**,yes,650352,New Hanover,Wilmington,"1307 Market St, Wilmington, NC 28401",-77.9323226,34.2373594,New Hanover
CIS of Cape Fear,Williston,yes,650392,New Hanover,Wilmington,"401 S 10th St, Wilmington, NC 28401",-77.934147,34.2311,New Hanover
